00:09.28 lv0 
00:09.28 lv0 <<< --------------------  Create File -------------------- >>>
00:09.30 lv0 Downloading Progress : 0 / 0
00:09.30 lv0 Downloading Progress : 0 / 0
00:09.30 lv0 Downloading Progress : 0 / 0
00:09.30 lv0 Downloading Progress : 0 / 0
00:09.30 lv0 Downloading Progress : 0 / 0
00:09.30 lv0 Downloading Progress : 0 / 0
00:09.30 lv0 Downloading Progress : 0 / 0
00:09.30 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.31 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.32 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.33 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.34 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.35 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.36 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Downloading Progress : 0 / 0
00:09.37 lv0 Complete - download - 0
00:09.37 lv0 Complete check down file.
00:09.37 lv0 Complete - UnPacPieceFile 0
00:09.39 lv0 Complete parse patch info.
00:09.39 lv0 Complete HDD space.
00:09.40 lv0 Downloading Progress : 0 / 72577
00:09.40 lv0 Complete - download - 0
00:09.40 lv0 HTTPManager::CheckPatchPac last patch version
00:09.40 lv0 Update is Already Done - v(00001)
00:09.42 lv0 Downloading Progress : 72570 / 72577
00:09.42 lv0 Complete - download - 72570
00:09.42 lv0 Complete check down file.
00:09.42 lv0 Complete - UnPacPieceFile 72570
00:09.42 lv0 Complete move file.
00:09.42 lv0 Start new pac
00:09.42 lv0 Complete parse delete file.
00:09.42 lv0 Complete firewall.
00:09.42 lv0 Complete - Run - _RunShipping
00:09.43 lv0 Compate - OnStart
00:09.43 lv0 Server Connect
00:09.50 lv0 ioLocalIndonesia::FillLoginData - MacAddress : 00-00-00-00-00-00
00:09.50 lv0 Send Login
00:14.53 lv0 ioSP2TCPSocket::DisconnectProcess - Disconnected Server
00:39.43 lv0 Complete - _RunEnd - ET_EXIT
00:39.43 lv0 Complete - OnTimer - EndDialog - TIME_ID_EXIT
00:39.43 lv0 
00:39.43 lv0 <<< --------------------  End File -------------------- >>>
00:39.43 lv0 
